"Notes"	"Cause of death"	"Cause of death Code"	"Age Group"	"Age Group Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"Acute hepatitis C"	"B17.1"	"75-84 years"	"75-84"	"Male"	"M"	188	4813716	3.9
	"Acute hepatitis C"	"B17.1"	"85+ years"	"85+"	"Female"	"F"	60	2960708	2.0
	"Acute hepatitis C"	"B17.1"	"85+ years"	"85+"	"Male"	"M"	50	1193310	4.2
	"Chronic viral hepatitis B without delta-agent"	"B18.1"	"35-44 years"	"35-44"	"Male"	"M"	12	22407073	0.1 (Unreliable)
	"Chronic viral hepatitis B without delta-agent"	"B18.1"	"45-54 years"	"45-54"	"Male"	"M"	23	17945514	0.1
	"Chronic viral hepatitis B without delta-agent"	"B18.1"	"55-64 years"	"55-64"	"Female"	"F"	10	12378763	0.1 (Unreliable)
	"Chronic viral hepatitis B without delta-agent"	"B18.1"	"55-64 years"	"55-64"	"Male"	"M"	21	11399263	0.2
	"Chronic viral hepatitis B without delta-agent"	"B18.1"	"65-74 years"	"65-74"	"Male"	"M"	13	8293485	0.2 (Unreliable)
	"Chronic viral hepatitis B without delta-agent"	"B18.1"	"75-84 years"	"75-84"	"Male"	"M"	14	4813716	0.3 (Unreliable)
	"Chronic viral hepatitis C"	"B18.2"	"35-44 years"	"35-44"	"Female"	"F"	23	22669604	0.1
	"Chronic viral hepatitis C"	"B18.2"	"35-44 years"	"35-44"	"Male"	"M"	48	22407073	0.2
	"Chronic viral hepatitis C"	"B18.2"	"45-54 years"	"45-54"	"Female"	"F"	36	18632305	0.2
	"Chronic viral hepatitis C"	"B18.2"	"45-54 years"	"45-54"	"Male"	"M"	101	17945514	0.6
	"Chronic viral hepatitis C"	"B18.2"	"55-64 years"	"55-64"	"Female"	"F"	34	12378763	0.3
	"Chronic viral hepatitis C"	"B18.2"	"55-64 years"	"55-64"	"Male"	"M"	52	11399263	0.5
	"Chronic viral hepatitis C"	"B18.2"	"65-74 years"	"65-74"	"Female"	"F"	76	10125424	0.8
	"Chronic viral hepatitis C"	"B18.2"	"65-74 years"	"65-74"	"Male"	"M"	57	8293485	0.7
	"Chronic viral hepatitis C"	"B18.2"	"75-84 years"	"75-84"	"Female"	"F"	61	7411198	0.8
	"Chronic viral hepatitis C"	"B18.2"	"75-84 years"	"75-84"	"Male"	"M"	53	4813716	1.1
	"Chronic viral hepatitis C"	"B18.2"	"85+ years"	"85+"	"Female"	"F"	19	2960708	0.6 (Unreliable)
	"Chronic viral hepatitis C"	"B18.2"	"85+ years"	"85+"	"Male"	"M"	13	1193310	1.1 (Unreliable)
	"Unspecified viral hepatitis without hepatic coma"	"B19.9"	"35-44 years"	"35-44"	"Male"	"M"	11	22407073	0.0 (Unreliable)
	"Unspecified viral hepatitis without hepatic coma"	"B19.9"	"45-54 years"	"45-54"	"Male"	"M"	18	17945514	0.1 (Unreliable)
	"Unspecified viral hepatitis without hepatic coma"	"B19.9"	"55-64 years"	"55-64"	"Male"	"M"	13	11399263	0.1 (Unreliable)
	"HIV disease resulting in mycobacterial infection"	"B20.0"	"25-34 years"	"25-34"	"Female"	"F"	11	19945090	0.1 (Unreliable)
	"HIV disease resulting in mycobacterial infection"	"B20.0"	"25-34 years"	"25-34"	"Male"	"M"	36	20233316	0.2
	"HIV disease resulting in mycobacterial infection"	"B20.0"	"35-44 years"	"35-44"	"Female"	"F"	14	22669604	0.1 (Unreliable)
	"HIV disease resulting in mycobacterial infection"	"B20.0"	"35-44 years"	"35-44"	"Male"	"M"	72	22407073	0.3
	"HIV disease resulting in mycobacterial infection"	"B20.0"	"45-54 years"	"45-54"	"Female"	"F"	11	18632305	0.1 (Unreliable)
	"HIV disease resulting in mycobacterial infection"	"B20.0"	"45-54 years"	"45-54"	"Male"	"M"	34	17945514	0.2
	"HIV disease resulting in mycobacterial infection"	"B20.0"	"55-64 years"	"55-64"	"Male"	"M"	13	11399263	0.1 (Unreliable)
	"HIV disease resulting in other bacterial infections"	"B20.1"	"20-24 years"	"20-24"	"Female"	"F"	10	9098615	0.1 (Unreliable)
	"HIV disease resulting in other bacterial infections"	"B20.1"	"25-34 years"	"25-34"	"Female"	"F"	86	19945090	0.4
	"HIV disease resulting in other bacterial infections"	"B20.1"	"25-34 years"	"25-34"	"Male"	"M"	130	20233316	0.6
	"HIV disease resulting in other bacterial infections"	"B20.1"	"35-44 years"	"35-44"	"Female"	"F"	154	22669604	0.7
	"HIV disease resulting in other bacterial infections"	"B20.1"	"35-44 years"	"35-44"	"Male"	"M"	357	22407073	1.6
	"HIV disease resulting in other bacterial infections"	"B20.1"	"45-54 years"	"45-54"	"Female"	"F"	82	18632305	0.4
	"HIV disease resulting in other bacterial infections"	"B20.1"	"45-54 years"	"45-54"	"Male"	"M"	297	17945514	1.7
	"HIV disease resulting in other bacterial infections"	"B20.1"	"55-64 years"	"55-64"	"Female"	"F"	21	12378763	0.2
	"HIV disease resulting in other bacterial infections"	"B20.1"	"55-64 years"	"55-64"	"Male"	"M"	74	11399263	0.6
	"HIV disease resulting in other bacterial infections"	"B20.1"	"65-74 years"	"65-74"	"Male"	"M"	24	8293485	0.3
	"HIV disease resulting in other bacterial infections"	"B20.1"	"75-84 years"	"75-84"	"Male"	"M"	10	4813716	0.2 (Unreliable)
	"HIV disease resulting in cytomegaloviral disease"	"B20.2"	"25-34 years"	"25-34"	"Male"	"M"	10	20233316	0.0 (Unreliable)
	"HIV disease resulting in cytomegaloviral disease"	"B20.2"	"35-44 years"	"35-44"	"Male"	"M"	24	22407073	0.1
	"HIV disease resulting in cytomegaloviral disease"	"B20.2"	"45-54 years"	"45-54"	"Male"	"M"	11	17945514	0.1 (Unreliable)
	"HIV disease resulting in other viral infections"	"B20.3"	"25-34 years"	"25-34"	"Female"	"F"	13	19945090	0.1 (Unreliable)
	"HIV disease resulting in other viral infections"	"B20.3"	"25-34 years"	"25-34"	"Male"	"M"	49	20233316	0.2
	"HIV disease resulting in other viral infections"	"B20.3"	"35-44 years"	"35-44"	"Female"	"F"	56	22669604	0.2
	"HIV disease resulting in other viral infections"	"B20.3"	"35-44 years"	"35-44"	"Male"	"M"	238	22407073	1.1
	"HIV disease resulting in other viral infections"	"B20.3"	"45-54 years"	"45-54"	"Female"	"F"	44	18632305	0.2
	"HIV disease resulting in other viral infections"	"B20.3"	"45-54 years"	"45-54"	"Male"	"M"	187	17945514	1.0
	"HIV disease resulting in other viral infections"	"B20.3"	"55-64 years"	"55-64"	"Male"	"M"	32	11399263	0.3
	"HIV disease resulting in other mycoses"	"B20.5"	"25-34 years"	"25-34"	"Female"	"F"	22	19945090	0.1
	"HIV disease resulting in other mycoses"	"B20.5"	"25-34 years"	"25-34"	"Male"	"M"	62	20233316	0.3
	"HIV disease resulting in other mycoses"	"B20.5"	"35-44 years"	"35-44"	"Female"	"F"	28	22669604	0.1
	"HIV disease resulting in other mycoses"	"B20.5"	"35-44 years"	"35-44"	"Male"	"M"	109	22407073	0.5
	"HIV disease resulting in other mycoses"	"B20.5"	"45-54 years"	"45-54"	"Female"	"F"	12	18632305	0.1 (Unreliable)
	"HIV disease resulting in other mycoses"	"B20.5"	"45-54 years"	"45-54"	"Male"	"M"	67	17945514	0.4
	"HIV disease resulting in other mycoses"	"B20.5"	"55-64 years"	"55-64"	"Male"	"M"	21	11399263	0.2
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"20-24 years"	"20-24"	"Female"	"F"	11	9098615	0.1 (Unreliable)
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"25-34 years"	"25-34"	"Female"	"F"	43	19945090	0.2
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"25-34 years"	"25-34"	"Male"	"M"	97	20233316	0.5
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"35-44 years"	"35-44"	"Female"	"F"	53	22669604	0.2
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"35-44 years"	"35-44"	"Male"	"M"	186	22407073	0.8
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"45-54 years"	"45-54"	"Female"	"F"	26	18632305	0.1
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"45-54 years"	"45-54"	"Male"	"M"	117	17945514	0.7
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"55-64 years"	"55-64"	"Female"	"F"	11	12378763	0.1 (Unreliable)
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"55-64 years"	"55-64"	"Male"	"M"	34	11399263	0.3
	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	"65-74 years"	"65-74"	"Male"	"M"	10	8293485	0.1 (Unreliable)
	"HIV disease resulting in multiple infections"	"B20.7"	"25-34 years"	"25-34"	"Female"	"F"	87	19945090	0.4
	"HIV disease resulting in multiple infections"	"B20.7"	"25-34 years"	"25-34"	"Male"	"M"	202	20233316	1.0
	"HIV disease resulting in multiple infections"	"B20.7"	"35-44 years"	"35-44"	"Female"	"F"	138	22669604	0.6
	"HIV disease resulting in multiple infections"	"B20.7"	"35-44 years"	"35-44"	"Male"	"M"	471	22407073	2.1
	"HIV disease resulting in multiple infections"	"B20.7"	"45-54 years"	"45-54"	"Female"	"F"	80	18632305	0.4
	"HIV disease resulting in multiple infections"	"B20.7"	"45-54 years"	"45-54"	"Male"	"M"	288	17945514	1.6
	"HIV disease resulting in multiple infections"	"B20.7"	"55-64 years"	"55-64"	"Female"	"F"	14	12378763	0.1 (Unreliable)
	"HIV disease resulting in multiple infections"	"B20.7"	"55-64 years"	"55-64"	"Male"	"M"	60	11399263	0.5
	"HIV disease resulting in multiple infections"	"B20.7"	"65-74 years"	"65-74"	"Male"	"M"	18	8293485	0.2 (Unreliable)
	"HIV disease resulting in multiple infections"	"B20.7"	"75-84 years"	"75-84"	"Male"	"M"	10	4813716	0.2 (Unreliable)
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"20-24 years"	"20-24"	"Male"	"M"	11	9492814	0.1 (Unreliable)
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"25-34 years"	"25-34"	"Female"	"F"	89	19945090	0.4
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"25-34 years"	"25-34"	"Male"	"M"	173	20233316	0.9
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"35-44 years"	"35-44"	"Female"	"F"	158	22669604	0.7
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"35-44 years"	"35-44"	"Male"	"M"	429	22407073	1.9
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"45-54 years"	"45-54"	"Female"	"F"	79	18632305	0.4
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"45-54 years"	"45-54"	"Male"	"M"	280	17945514	1.6
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"55-64 years"	"55-64"	"Female"	"F"	15	12378763	0.1 (Unreliable)
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"55-64 years"	"55-64"	"Male"	"M"	71	11399263	0.6
	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	"65-74 years"	"65-74"	"Male"	"M"	40	8293485	0.5
	"HIV disease with Kaposi sarcoma"	"B21.0"	"25-34 years"	"25-34"	"Male"	"M"	44	20233316	0.2
	"HIV disease with Kaposi sarcoma"	"B21.0"	"35-44 years"	"35-44"	"Male"	"M"	61	22407073	0.3
	"HIV disease with Kaposi sarcoma"	"B21.0"	"45-54 years"	"45-54"	"Male"	"M"	22	17945514	0.1
	"HIV disease with Burkitt lymphoma"	"B21.1"	"35-44 years"	"35-44"	"Male"	"M"	14	22407073	0.1 (Unreliable)
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"25-34 years"	"25-34"	"Female"	"F"	18	19945090	0.1 (Unreliable)
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"25-34 years"	"25-34"	"Male"	"M"	87	20233316	0.4
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"35-44 years"	"35-44"	"Female"	"F"	34	22669604	0.1
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"35-44 years"	"35-44"	"Male"	"M"	211	22407073	0.9
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"45-54 years"	"45-54"	"Female"	"F"	19	18632305	0.1 (Unreliable)
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"45-54 years"	"45-54"	"Male"	"M"	119	17945514	0.7
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"55-64 years"	"55-64"	"Male"	"M"	48	11399263	0.4
	"HIV disease with other types of non-Hodgkin lymphoma"	"B21.2"	"65-74 years"	"65-74"	"Male"	"M"	11	8293485	0.1 (Unreliable)
	"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"	"B21.3"	"25-34 years"	"25-34"	"Male"	"M"	14	20233316	0.1 (Unreliable)
	"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"	"B21.3"	"35-44 years"	"35-44"	"Male"	"M"	22	22407073	0.1
	"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"	"B21.3"	"45-54 years"	"45-54"	"Male"	"M"	15	17945514	0.1 (Unreliable)
	"HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"	"B21.3"	"55-64 years"	"55-64"	"Male"	"M"	10	11399263	0.1 (Unreliable)
	"HIV disease resulting in multiple malignant neoplasms"	"B21.7"	"35-44 years"	"35-44"	"Male"	"M"	18	22407073	0.1 (Unreliable)
	"HIV disease resulting in multiple malignant neoplasms"	"B21.7"	"45-54 years"	"45-54"	"Male"	"M"	13	17945514	0.1 (Unreliable)
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"25-34 years"	"25-34"	"Female"	"F"	10	19945090	0.1 (Unreliable)
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"25-34 years"	"25-34"	"Male"	"M"	12	20233316	0.1 (Unreliable)
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"35-44 years"	"35-44"	"Female"	"F"	28	22669604	0.1
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"35-44 years"	"35-44"	"Male"	"M"	50	22407073	0.2
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"45-54 years"	"45-54"	"Female"	"F"	15	18632305	0.1 (Unreliable)
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"45-54 years"	"45-54"	"Male"	"M"	64	17945514	0.4
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"55-64 years"	"55-64"	"Female"	"F"	11	12378763	0.1 (Unreliable)
	"HIV disease resulting in other malignant neoplasms"	"B21.8"	"55-64 years"	"55-64"	"Male"	"M"	25	11399263	0.2
	"HIV disease resulting in unspecified malignant neoplasm"	"B21.9"	"35-44 years"	"35-44"	"Male"	"M"	19	22407073	0.1 (Unreliable)
	"HIV disease resulting in unspecified malignant neoplasm"	"B21.9"	"45-54 years"	"45-54"	"Male"	"M"	14	17945514	0.1 (Unreliable)
	"HIV disease resulting in encephalopathy"	"B22.0"	"25-34 years"	"25-34"	"Female"	"F"	16	19945090	0.1 (Unreliable)
	"HIV disease resulting in encephalopathy"	"B22.0"	"25-34 years"	"25-34"	"Male"	"M"	31	20233316	0.2
	"HIV disease resulting in encephalopathy"	"B22.0"	"35-44 years"	"35-44"	"Female"	"F"	12	22669604	0.1 (Unreliable)
	"HIV disease resulting in encephalopathy"	"B22.0"	"35-44 years"	"35-44"	"Male"	"M"	73	22407073	0.3
	"HIV disease resulting in encephalopathy"	"B22.0"	"45-54 years"	"45-54"	"Female"	"F"	10	18632305	0.1 (Unreliable)
	"HIV disease resulting in encephalopathy"	"B22.0"	"45-54 years"	"45-54"	"Male"	"M"	43	17945514	0.2
	"HIV disease resulting in encephalopathy"	"B22.0"	"55-64 years"	"55-64"	"Male"	"M"	14	11399263	0.1 (Unreliable)
	"HIV disease resulting in wasting syndrome"	"B22.2"	"25-34 years"	"25-34"	"Male"	"M"	41	20233316	0.2
	"HIV disease resulting in wasting syndrome"	"B22.2"	"35-44 years"	"35-44"	"Female"	"F"	29	22669604	0.1
	"HIV disease resulting in wasting syndrome"	"B22.2"	"35-44 years"	"35-44"	"Male"	"M"	114	22407073	0.5
	"HIV disease resulting in wasting syndrome"	"B22.2"	"45-54 years"	"45-54"	"Male"	"M"	57	17945514	0.3
	"HIV disease resulting in wasting syndrome"	"B22.2"	"55-64 years"	"55-64"	"Male"	"M"	15	11399263	0.1 (Unreliable)
	"HIV disease resulting in wasting syndrome"	"B22.2"	"65-74 years"	"65-74"	"Male"	"M"	10	8293485	0.1 (Unreliable)
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"25-34 years"	"25-34"	"Female"	"F"	45	19945090	0.2
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"25-34 years"	"25-34"	"Male"	"M"	151	20233316	0.7
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"35-44 years"	"35-44"	"Female"	"F"	102	22669604	0.4
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"35-44 years"	"35-44"	"Male"	"M"	384	22407073	1.7
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"45-54 years"	"45-54"	"Female"	"F"	45	18632305	0.2
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"45-54 years"	"45-54"	"Male"	"M"	231	17945514	1.3
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"55-64 years"	"55-64"	"Female"	"F"	13	12378763	0.1 (Unreliable)
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"55-64 years"	"55-64"	"Male"	"M"	79	11399263	0.7
	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	"65-74 years"	"65-74"	"Male"	"M"	21	8293485	0.3
	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	"25-34 years"	"25-34"	"Female"	"F"	16	19945090	0.1 (Unreliable)
	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	"25-34 years"	"25-34"	"Male"	"M"	35	20233316	0.2
	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	"35-44 years"	"35-44"	"Female"	"F"	44	22669604	0.2
	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	"35-44 years"	"35-44"	"Male"	"M"	86	22407073	0.4
	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	"45-54 years"	"45-54"	"Female"	"F"	16	18632305	0.1 (Unreliable)
	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	"45-54 years"	"45-54"	"Male"	"M"	59	17945514	0.3
	"HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"	"B23.2"	"55-64 years"	"55-64"	"Male"	"M"	16	11399263	0.1 (Unreliable)
	"HIV disease resulting in other specified conditions"	"B23.8"	"20-24 years"	"20-24"	"Female"	"F"	19	9098615	0.2 (Unreliable)
	"HIV disease resulting in other specified conditions"	"B23.8"	"20-24 years"	"20-24"	"Male"	"M"	15	9492814	0.2 (Unreliable)
	"HIV disease resulting in other specified conditions"	"B23.8"	"25-34 years"	"25-34"	"Female"	"F"	170	19945090	0.9
	"HIV disease resulting in other specified conditions"	"B23.8"	"25-34 years"	"25-34"	"Male"	"M"	350	20233316	1.7
	"HIV disease resulting in other specified conditions"	"B23.8"	"35-44 years"	"35-44"	"Female"	"F"	364	22669604	1.6
	"HIV disease resulting in other specified conditions"	"B23.8"	"35-44 years"	"35-44"	"Male"	"M"	876	22407073	3.9
	"HIV disease resulting in other specified conditions"	"B23.8"	"45-54 years"	"45-54"	"Female"	"F"	191	18632305	1.0
	"HIV disease resulting in other specified conditions"	"B23.8"	"45-54 years"	"45-54"	"Male"	"M"	667	17945514	3.7
	"HIV disease resulting in other specified conditions"	"B23.8"	"55-64 years"	"55-64"	"Female"	"F"	63	12378763	0.5
	"HIV disease resulting in other specified conditions"	"B23.8"	"55-64 years"	"55-64"	"Male"	"M"	250	11399263	2.2
	"HIV disease resulting in other specified conditions"	"B23.8"	"65-74 years"	"65-74"	"Female"	"F"	20	10125424	0.2
	"HIV disease resulting in other specified conditions"	"B23.8"	"65-74 years"	"65-74"	"Male"	"M"	90	8293485	1.1
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"20-24 years"	"20-24"	"Female"	"F"	15	9098615	0.2 (Unreliable)
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"20-24 years"	"20-24"	"Male"	"M"	13	9492814	0.1 (Unreliable)
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"25-34 years"	"25-34"	"Female"	"F"	166	19945090	0.8
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"25-34 years"	"25-34"	"Male"	"M"	372	20233316	1.8
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"35-44 years"	"35-44"	"Female"	"F"	292	22669604	1.3
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"35-44 years"	"35-44"	"Male"	"M"	886	22407073	4.0
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"45-54 years"	"45-54"	"Female"	"F"	128	18632305	0.7
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"45-54 years"	"45-54"	"Male"	"M"	541	17945514	3.0
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"55-64 years"	"55-64"	"Female"	"F"	34	12378763	0.3
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"55-64 years"	"55-64"	"Male"	"M"	168	11399263	1.5
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"65-74 years"	"65-74"	"Female"	"F"	12	10125424	0.1 (Unreliable)
	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	"65-74 years"	"65-74"	"Male"	"M"	55	8293485	0.7
	"Other viral infections of unspecified site"	"B34.8"	"< 1 year"	"1"	"Female"	"F"	16	1852123	0.9 (Unreliable)
	"Other viral infections of unspecified site"	"B34.8"	"< 1 year"	"1"	"Male"	"M"	14	1943639	0.7 (Unreliable)
	"Viral infection, unspecified"	"B34.9"	"< 1 year"	"1"	"Female"	"F"	12	1852123	0.6 (Unreliable)
	"Viral infection, unspecified"	"B34.9"	"< 1 year"	"1"	"Male"	"M"	20	1943639	1.0
	"Viral infection, unspecified"	"B34.9"	"1-4 years"	"1-4"	"Male"	"M"	16	7846168	0.2 (Unreliable)
	"Viral infection, unspecified"	"B34.9"	"45-54 years"	"45-54"	"Female"	"F"	15	18632305	0.1 (Unreliable)
	"Viral infection, unspecified"	"B34.9"	"55-64 years"	"55-64"	"Male"	"M"	13	11399263	0.1 (Unreliable)
	"Viral infection, unspecified"	"B34.9"	"65-74 years"	"65-74"	"Female"	"F"	11	10125424	0.1 (Unreliable)
	"Viral infection, unspecified"	"B34.9"	"65-74 years"	"65-74"	"Male"	"M"	16	8293485	0.2 (Unreliable)
	"Viral infection, unspecified"	"B34.9"	"75-84 years"	"75-84"	"Female"	"F"	54	7411198	0.7
	"Viral infection, unspecified"	"B34.9"	"75-84 years"	"75-84"	"Male"	"M"	25	4813716	0.5
	"Viral infection, unspecified"	"B34.9"	"85+ years"	"85+"	"Female"	"F"	98	2960708	3.3
	"Viral infection, unspecified"	"B34.9"	"85+ years"	"85+"	"Male"	"M"	35	1193310	2.9
	"Candidal septicaemia"	"B37.7"	"< 1 year"	"1"	"Male"	"M"	15	1943639	0.8 (Unreliable)
	"Candidal septicaemia"	"B37.7"	"35-44 years"	"35-44"	"Male"	"M"	11	22407073	0.0 (Unreliable)
	"Candidal septicaemia"	"B37.7"	"45-54 years"	"45-54"	"Female"	"F"	16	18632305	0.1 (Unreliable)
	"Candidal septicaemia"	"B37.7"	"45-54 years"	"45-54"	"Male"	"M"	12	17945514	0.1 (Unreliable)
